event_id,ticker,zone_id,structural_zone_key,event_timestamp,event_type,direction,price_at_event,boundary_price,close_distance_pct,bar_index,local_bar_index,global_bar_index,touch_count_before_event,meaningful_touch_count_before_event,is_first_meaningful_test,bars_since_last_touch,days_since_last_touch,zone_class,zone_side,zone_timeframe,zone_width_pct,confluence_count,metadata_json
AAPL::20250625::resistance::1::probe::2025-06-30T00:00:00,AAPL,AAPL::20250625::resistance::1,"AAPL::resistance::201.5850::5.2750::avwap_D,vp_D::D",2025-06-30,probe,up,205.1699981689453,204.22272685368856,0.004638422617554269,38,3,38,0,0,True,,,composite,resistance,D,0.026161433458046182,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-06-25T00:00:00"", ""zone_valid_to"": ""2025-07-01T23:59:59.999999""}"
AAPL::20250625::resistance::1::breakout_up::2025-07-01T00:00:00,AAPL,AAPL::20250625::resistance::1,"AAPL::resistance::201.5850::5.2750::avwap_D,vp_D::D",2025-07-01,breakout_up,up,207.82000732421875,204.22272685368856,0.017614496319537425,39,4,39,1,1,False,1.0,1.0,composite,resistance,D,0.026161433458046182,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-06-25T00:00:00"", ""zone_valid_to"": ""2025-07-01T23:59:59.999999""}"
AAPL::20250710::resistance::1::test::2025-07-10T00:00:00,AAPL,AAPL::20250710::resistance::1,AAPL::resistance::211.1550::2.1125::avwap_D::D,2025-07-10,test,up,212.41000366210938,212.20883292391088,0.0009479847536347858,45,0,45,0,0,True,,,cost,resistance,D,0.009999999999999938,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}"
AAPL::20250710::support::3::test::2025-07-14T00:00:00,AAPL,AAPL::20250710::support::3,"AAPL::support::210.0800::3.0250::avwap_D,vp_D::D",2025-07-14,test,down,208.6199951171875,208.56830977201463,0.0002478101550008618,47,2,47,0,0,True,,,composite,support,D,0.014402520242310162,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}"
AAPL::20250710::resistance::1::test::2025-07-16T00:00:00,AAPL,AAPL::20250710::resistance::1,AAPL::resistance::211.1550::2.1125::avwap_D::D,2025-07-16,test,up,210.16000366210938,212.20883292391088,-0.009654778425439645,49,4,49,1,1,False,4.0,6.0,cost,resistance,D,0.009999999999999938,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-10T00:00:00"", ""zone_valid_to"": ""2025-07-16T23:59:59.999999""}"
AAPL::20250717::resistance::1::test::2025-07-21T00:00:00,AAPL,AAPL::20250717::resistance::1,"AAPL::resistance::210.5000::5.6325::avwap_D,vp_D,vp_W::D,W",2025-07-21,test,up,212.47999572753906,213.31499372959138,-0.003914389642533993,52,2,52,0,0,True,,,composite,resistance,"D,W",0.02675381812048468,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-17T00:00:00"", ""zone_valid_to"": ""2025-07-23T23:59:59.999999""}"
AAPL::20250717::resistance::1::probe::2025-07-22T00:00:00,AAPL,AAPL::20250717::resistance::1,"AAPL::resistance::210.5000::5.6325::avwap_D,vp_D,vp_W::D,W",2025-07-22,probe,up,214.39999389648438,213.31499372959138,0.005086375542210577,53,3,53,1,1,False,1.0,1.0,composite,resistance,"D,W",0.02675381812048468,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-17T00:00:00"", ""zone_valid_to"": ""2025-07-23T23:59:59.999999""}"
AAPL::20250717::resistance::1::breakout_up::2025-07-23T00:00:00,AAPL,AAPL::20250717::resistance::1,"AAPL::resistance::210.5000::5.6325::avwap_D,vp_D,vp_W::D,W",2025-07-23,breakout_up,up,214.14999389648438,213.31499372959138,0.003914399791097122,54,4,54,2,1,False,1.0,1.0,composite,resistance,"D,W",0.02675381812048468,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-07-17T00:00:00"", ""zone_valid_to"": ""2025-07-23T23:59:59.999999""}"
AAPL::20250724::support::2::test::2025-07-30T00:00:00,AAPL,AAPL::20250724::support::2,"AAPL::support::211.4550::6.7100::avwap_D,vp_D,vp_W::D,W",2025-07-30,test,down,209.0500030517578,208.10216744422914,0.004554664755150576,59,4,59,0,0,True,,,composite,support,"D,W",0.031734175897696754,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-07-24T00:00:00"", ""zone_valid_to"": ""2025-07-30T23:59:59.999999""}"
AAPL::20250731::support::3::probe::2025-08-01T00:00:00,AAPL,AAPL::20250731::support::3,AAPL::support::205.8800::3.6200::avwap_D::D,2025-08-01,probe,down,202.3800048828125,204.07039415284245,-0.008283363576805286,61,1,61,0,0,True,,,cost,support,D,0.017577817057758897,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-31T00:00:00"", ""zone_valid_to"": ""2025-08-06T23:59:59.999999""}"
AAPL::20250731::support::3::breakout_down::2025-08-04T00:00:00,AAPL,AAPL::20250731::support::3,AAPL::support::205.8800::3.6200::avwap_D::D,2025-08-04,breakout_down,down,203.35000610351562,204.07039415284245,-0.003530095839317486,62,2,62,1,1,False,1.0,3.0,cost,support,D,0.017577817057758897,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_down"", ""zone_valid_from"": ""2025-07-31T00:00:00"", ""zone_valid_to"": ""2025-08-06T23:59:59.999999""}"
AAPL::20250731::support::3::retest_down::2025-08-05T00:00:00,AAPL,AAPL::20250731::support::3,AAPL::support::205.8800::3.6200::avwap_D::D,2025-08-05,retest_down,down,202.9199981689453,204.07039415284245,-0.005637250756890928,63,3,63,2,2,False,,,cost,support,D,0.017577817057758897,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""retest_down"", ""zone_valid_from"": ""2025-07-31T00:00:00"", ""zone_valid_to"": ""2025-08-06T23:59:59.999999""}"
AAPL::20250731::support::3::failed_breakout_down::2025-08-06T00:00:00,AAPL,AAPL::20250731::support::3,AAPL::support::205.8800::3.6200::avwap_D::D,2025-08-06,failed_breakout_down,down,213.25,204.07039415284245,0.04498254577918982,64,4,64,2,2,False,,,cost,support,D,0.017577817057758897,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""failed_breakout_down"", ""zone_valid_from"": ""2025-07-31T00:00:00"", ""zone_valid_to"": ""2025-08-06T23:59:59.999999""}"
AAPL::20250807::resistance::1::probe::2025-08-07T00:00:00,AAPL,AAPL::20250807::resistance::1,AAPL::resistance::213.8450::4.2200::vp_D::D,2025-08-07,probe,up,220.02999877929688,215.95673010031382,0.01886150377018112,65,0,65,0,0,True,,,inventory,resistance,D,0.019738304189381863,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-08-07T00:00:00"", ""zone_valid_to"": ""2025-08-13T23:59:59.999999""}"
AAPL::20250807::resistance::1::breakout_up::2025-08-08T00:00:00,AAPL,AAPL::20250807::resistance::1,AAPL::resistance::213.8450::4.2200::vp_D::D,2025-08-08,breakout_up,up,229.35000610351562,215.95673010031382,0.06201833115819317,66,1,66,1,1,False,1.0,1.0,inventory,resistance,D,0.019738304189381863,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-08-07T00:00:00"", ""zone_valid_to"": ""2025-08-13T23:59:59.999999""}"
AAPL::20250807::resistance::1::probe::2025-08-13T00:00:00,AAPL,AAPL::20250807::resistance::1,AAPL::resistance::213.8450::4.2200::vp_D::D,2025-08-13,probe,up,233.3300018310547,215.95673010031382,0.08044792918780919,69,4,69,4,1,False,1.0,1.0,inventory,resistance,D,0.019738304189381863,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-08-07T00:00:00"", ""zone_valid_to"": ""2025-08-13T23:59:59.999999""}"
AAPL::20250814::support::3::probe::2025-08-20T00:00:00,AAPL,AAPL::20250814::support::3,"AAPL::support::229.3700::3.7625::avwap_D,vp_D::D",2025-08-20,probe,down,226.00999450683594,227.48964302980957,-0.006504245658250669,74,4,74,0,0,True,,,composite,support,D,0.016407649706601118,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-08-14T00:00:00"", ""zone_valid_to"": ""2025-08-20T23:59:59.999999""}"
AAPL::20250912::resistance::1::probe::2025-09-12T00:00:00,AAPL,AAPL::20250912::resistance::1,AAPL::resistance::231.1900::2.3125::avwap_D::D,2025-09-12,probe,up,234.07000732421875,232.34683417008725,0.0074163831854496855,90,0,90,0,0,True,,,cost,resistance,D,0.009999999999999978,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-12T00:00:00"", ""zone_valid_to"": ""2025-09-18T23:59:59.999999""}"
AAPL::20250912::resistance::1::breakout_up::2025-09-15T00:00:00,AAPL,AAPL::20250912::resistance::1,AAPL::resistance::231.1900::2.3125::avwap_D::D,2025-09-15,breakout_up,up,236.6999969482422,232.34683417008725,0.018735623378316607,91,1,91,1,1,False,1.0,3.0,cost,resistance,D,0.009999999999999978,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-09-12T00:00:00"", ""zone_valid_to"": ""2025-09-18T23:59:59.999999""}"
AAPL::20250912::resistance::2::probe::2025-09-15T00:00:00,AAPL,AAPL::20250912::resistance::2,AAPL::resistance::233.6850::2.3375::avwap_D::D,2025-09-15,probe,up,236.6999969482422,234.85285399620852,0.007865107536923883,91,1,91,0,0,True,,,cost,resistance,D,0.010000000000000085,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-12T00:00:00"", ""zone_valid_to"": ""2025-09-18T23:59:59.999999""}"
AAPL::20250912::resistance::2::breakout_up::2025-09-16T00:00:00,AAPL,AAPL::20250912::resistance::2,AAPL::resistance::233.6850::2.3375::avwap_D::D,2025-09-16,breakout_up,up,238.14999389648438,234.85285399620852,0.014039173227714238,92,2,92,1,1,False,1.0,1.0,cost,resistance,D,0.010000000000000085,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-09-12T00:00:00"", ""zone_valid_to"": ""2025-09-18T23:59:59.999999""}"
AAPL::20250912::resistance::3::test::2025-09-16T00:00:00,AAPL,AAPL::20250912::resistance::3,AAPL::resistance::237.3000::3.1050::vp_D::D,2025-09-16,test,up,238.14999389648438,238.85242409388226,-0.002940854379278955,92,2,92,0,0,True,,,inventory,resistance,D,0.013079711669953684,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-09-12T00:00:00"", ""zone_valid_to"": ""2025-09-18T23:59:59.999999""}"
AAPL::20250912::resistance::1::probe::2025-09-18T00:00:00,AAPL,AAPL::20250912::resistance::1,AAPL::resistance::231.1900::2.3125::avwap_D::D,2025-09-18,probe,up,237.8800048828125,232.34683417008725,0.02381427202349892,94,4,94,4,1,False,1.0,1.0,cost,resistance,D,0.009999999999999978,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-12T00:00:00"", ""zone_valid_to"": ""2025-09-18T23:59:59.999999""}"
AAPL::20250919::resistance::1::probe::2025-09-19T00:00:00,AAPL,AAPL::20250919::resistance::1,AAPL::resistance::238.2150::5.6700::vp_D::D,2025-09-19,probe,up,245.5,241.0494431781769,0.018463252862747286,95,0,95,0,0,True,,,inventory,resistance,D,0.023805556099503678,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-19T00:00:00"", ""zone_valid_to"": ""2025-09-25T23:59:59.999999""}"
AAPL::20250919::resistance::1::breakout_up::2025-09-22T00:00:00,AAPL,AAPL::20250919::resistance::1,AAPL::resistance::238.2150::5.6700::vp_D::D,2025-09-22,breakout_up,up,256.0799865722656,241.0494431781769,0.06235460740300731,96,1,96,1,1,False,1.0,3.0,inventory,resistance,D,0.023805556099503678,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-09-19T00:00:00"", ""zone_valid_to"": ""2025-09-25T23:59:59.999999""}"
AAPL::20250919::resistance::1::probe::2025-09-25T00:00:00,AAPL,AAPL::20250919::resistance::1,AAPL::resistance::238.2150::5.6700::vp_D::D,2025-09-25,probe,up,256.8699951171875,241.0494431781769,0.06563197877755109,99,4,99,4,1,False,1.0,1.0,inventory,resistance,D,0.023805556099503678,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-09-19T00:00:00"", ""zone_valid_to"": ""2025-09-25T23:59:59.999999""}"
AAPL::20251017::resistance::1::probe::2025-10-20T00:00:00,AAPL,AAPL::20251017::resistance::1,"AAPL::resistance::255.1600::8.3375::avwap_D,vp_D,vp_W::D,W",2025-10-20,probe,up,262.239990234375,259.32901335716247,0.011225033556902377,116,1,116,0,0,True,,,composite,resistance,"D,W",0.032672397693521184,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-17T00:00:00"", ""zone_valid_to"": ""2025-10-23T23:59:59.999999""}"
AAPL::20251017::resistance::1::breakout_up::2025-10-21T00:00:00,AAPL,AAPL::20251017::resistance::1,"AAPL::resistance::255.1600::8.3375::avwap_D,vp_D,vp_W::D,W",2025-10-21,breakout_up,up,262.7699890136719,259.32901335716247,0.013268764693791912,117,2,117,1,1,False,1.0,1.0,composite,resistance,"D,W",0.032672397693521184,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-10-17T00:00:00"", ""zone_valid_to"": ""2025-10-23T23:59:59.999999""}"
AAPL::20251017::resistance::1::test::2025-10-22T00:00:00,AAPL,AAPL::20251017::resistance::1,"AAPL::resistance::255.1600::8.3375::avwap_D,vp_D,vp_W::D,W",2025-10-22,test,up,258.45001220703125,259.32901335716247,-0.003389521051856264,118,3,118,2,1,False,1.0,1.0,composite,resistance,"D,W",0.032672397693521184,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-10-17T00:00:00"", ""zone_valid_to"": ""2025-10-23T23:59:59.999999""}"
AAPL::20251017::resistance::1::retest_up::2025-10-23T00:00:00,AAPL,AAPL::20251017::resistance::1,"AAPL::resistance::255.1600::8.3375::avwap_D,vp_D,vp_W::D,W",2025-10-23,retest_up,up,259.5799865722656,259.32901335716247,0.0009677791615144277,119,4,119,2,2,False,,,composite,resistance,"D,W",0.032672397693521184,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""retest_up"", ""zone_valid_from"": ""2025-10-17T00:00:00"", ""zone_valid_to"": ""2025-10-23T23:59:59.999999""}"
AAPL::20251024::resistance::1::probe::2025-10-27T00:00:00,AAPL,AAPL::20251024::resistance::1,"AAPL::resistance::262.1300::5.4975::avwap_D,vp_D::D",2025-10-27,probe,up,268.80999755859375,264.87900015195214,0.01484072880215694,121,1,121,0,0,True,,,composite,resistance,D,0.02096992392818902,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-10-24T00:00:00"", ""zone_valid_to"": ""2025-10-30T23:59:59.999999""}"
AAPL::20251024::resistance::1::breakout_up::2025-10-28T00:00:00,AAPL,AAPL::20251024::resistance::1,"AAPL::resistance::262.1300::5.4975::avwap_D,vp_D::D",2025-10-28,breakout_up,up,269.0,264.87900015195214,0.01555804667672326,122,2,122,1,1,False,1.0,1.0,composite,resistance,D,0.02096992392818902,2,"{""source_reason"": ""avwap_D,vp_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-10-24T00:00:00"", ""zone_valid_to"": ""2025-10-30T23:59:59.999999""}"
AAPL::20251031::support::3::test::2025-11-03T00:00:00,AAPL,AAPL::20251031::support::3,AAPL::support::268.9050::3.3050::vp_D::D,2025-11-03,test,down,269.04998779296875,267.2511199792226,0.006731001965065646,126,1,126,0,0,True,,,inventory,support,D,0.012290938773842738,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-10-31T00:00:00"", ""zone_valid_to"": ""2025-11-06T23:59:59.999999""}"
AAPL::20251107::resistance::1::test::2025-11-10T00:00:00,AAPL,AAPL::20251107::resistance::1,"AAPL::resistance::269.9000::6.9675::avwap_D,vp_D,vp_W::D,W",2025-11-10,test,up,269.42999267578125,273.38511461893717,-0.01446721760498495,131,1,131,0,0,True,,,composite,resistance,"D,W",0.025810349977612196,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}"
AAPL::20251107::resistance::1::probe::2025-11-11T00:00:00,AAPL,AAPL::20251107::resistance::1,"AAPL::resistance::269.9000::6.9675::avwap_D,vp_D,vp_W::D,W",2025-11-11,probe,up,275.25,273.38511461893717,0.006821459111489074,132,2,132,1,1,False,1.0,1.0,composite,resistance,"D,W",0.025810349977612196,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-11-07T00:00:00"", ""zone_valid_to"": ""2025-11-13T23:59:59.999999""}"
AAPL::20251114::support::3::test::2025-11-17T00:00:00,AAPL,AAPL::20251114::support::3,"AAPL::support::270.4350::8.9650::avwap_D,vp_D,vp_W::D,W",2025-11-17,test,down,267.4599914550781,265.9511718988419,0.005673295385252647,136,1,136,0,0,True,,,composite,support,"D,W",0.03314955870675052,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""test"", ""zone_valid_from"": ""2025-11-14T00:00:00"", ""zone_valid_to"": ""2025-11-20T23:59:59.999999""}"
AAPL::20251121::resistance::1::probe::2025-11-24T00:00:00,AAPL,AAPL::20251121::resistance::1,"AAPL::resistance::270.3250::8.3625::avwap_D,vp_D,vp_W::D,W",2025-11-24,probe,up,275.9200134277344,274.5068981043498,0.00514783174172704,141,1,141,0,0,True,,,composite,resistance,"D,W",0.030931306759353773,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-11-21T00:00:00"", ""zone_valid_to"": ""2025-11-30T23:59:59.999999""}"
AAPL::20251121::resistance::1::breakout_up::2025-11-25T00:00:00,AAPL,AAPL::20251121::resistance::1,"AAPL::resistance::270.3250::8.3625::avwap_D,vp_D,vp_W::D,W",2025-11-25,breakout_up,up,276.9700012207031,274.5068981043498,0.008972827762663508,142,2,142,1,1,False,1.0,1.0,composite,resistance,"D,W",0.030931306759353773,3,"{""source_reason"": ""avwap_D,vp_D,vp_W"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-11-21T00:00:00"", ""zone_valid_to"": ""2025-11-30T23:59:59.999999""}"
AMZN::20250625::resistance::1::probe::2025-06-27T00:00:00,AMZN,AMZN::20250625::resistance::1,AMZN::resistance::214.8900::6.5975::vp_D::D,2025-06-27,probe,up,223.3000030517578,218.18821025848388,0.023428363921304825,37,2,37,0,0,True,,,inventory,resistance,D,0.030701356872342017,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-06-25T00:00:00"", ""zone_valid_to"": ""2025-07-01T23:59:59.999999""}"
AMZN::20250625::resistance::1::breakout_up::2025-06-30T00:00:00,AMZN,AMZN::20250625::resistance::1,AMZN::resistance::214.8900::6.5975::vp_D::D,2025-06-30,breakout_up,up,219.38999938964844,218.18821025848388,0.005508038815391632,38,3,38,1,1,False,1.0,3.0,inventory,resistance,D,0.030701356872342017,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-06-25T00:00:00"", ""zone_valid_to"": ""2025-07-01T23:59:59.999999""}"
AMZN::20250625::resistance::1::retest_up::2025-07-01T00:00:00,AMZN,AMZN::20250625::resistance::1,AMZN::resistance::214.8900::6.5975::vp_D::D,2025-07-01,retest_up,up,220.4600067138672,218.18821025848388,0.010412095377160622,39,4,39,2,2,False,,,inventory,resistance,D,0.030701356872342017,1,"{""source_reason"": ""vp_D"", ""trigger_rule"": ""retest_up"", ""zone_valid_from"": ""2025-06-25T00:00:00"", ""zone_valid_to"": ""2025-07-01T23:59:59.999999""}"
AMZN::20250702::resistance::1::probe::2025-07-03T00:00:00,AMZN,AMZN::20250702::resistance::1,AMZN::resistance::220.5000::2.2050::avwap_D::D,2025-07-03,probe,up,223.41000366210938,221.60451825326328,0.008147331214531808,41,1,41,0,0,True,,,cost,resistance,D,0.009999999999999981,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""probe"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}"
AMZN::20250702::resistance::1::breakout_up::2025-07-07T00:00:00,AMZN,AMZN::20250702::resistance::1,AMZN::resistance::220.5000::2.2050::avwap_D::D,2025-07-07,breakout_up,up,223.47000122070312,221.60451825326328,0.008418072799886945,42,2,42,1,1,False,1.0,4.0,cost,resistance,D,0.009999999999999981,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""breakout_up"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}"
AMZN::20250702::resistance::1::failed_breakout_up::2025-07-08T00:00:00,AMZN,AMZN::20250702::resistance::1,AMZN::resistance::220.5000::2.2050::avwap_D::D,2025-07-08,failed_breakout_up,up,219.36000061035156,221.60451825326328,-0.01012848321236187,43,3,43,2,2,False,,,cost,resistance,D,0.009999999999999981,1,"{""source_reason"": ""avwap_D"", ""trigger_rule"": ""failed_breakout_up"", ""zone_valid_from"": ""2025-07-02T00:00:00"", ""zone_valid_to"": ""2025-07-09T23:59:59.999999""}"
